The user wants 40 answers to questions about Cloud Infrastructure Architecture and OT Infrastructure Architecture.
I need to adopt the persona of a senior infrastructure and software engineer.
I must answer all 40 questions, labeling each with the specific ID (e.g., CL1, OT1).
I need to be thorough but concise.

**Plan:**
1.  **Cloud Infrastructure Architecture (20 questions):**
**OT19 — Hard:** **MITRE ATT&CK for ICS** is a knowledge base of tactics and techniques specific to industrial control systems.
*   **Tactics:** Resource Development, Initial Access, Execution, Persistence, Defense Evasion, Impact.
*   **Techniques:** Specific actions like "SCADA Protocol Flood" or "PLC Code Modification".
*   **Difference:** Focuses on ICS protocols (Modbus, DNP3) and physical impacts, unlike the enterprise matrix which focuses on Windows/Mac/Linux.
*   **Use:** To identify gaps in detection and response capabilities specific to industrial environments.

**OT20 — Hard:**
*   **SOC:** Use passive collectors (Syslog, OPC UA logs) to avoid impacting real-time control loops.
*   **SIEM:** Correlate logs with OT-specific rules.
*   **Staffing:** Hybrid team of IT analysts and OT engineers.
*   **False Positives:** High in OT; requires OT engineers to tune rules.
*   **Firmware Alert:** Verify via vendor, check logs for unauthorized changes, isolate the PLC if confirmed, and restore from a known good backup.
